review_num,title,stars,text
35,its a cult classic for a reason,5,its a cult classic for a reason
36,I love this movie,1,"First,  let me say:  I love this movie.  LOVE IT.  Or I wouldn't have bought it.  This review is about how it arrived.  The case is completely smashed and broken.  I have not yet tried the DVD itself.  That looks ok,  although I really don't know how, since the case is mostly demolished.  Disappointing."
37,Five Stars,5,A
38,Five Stars,5,This movie is absolutely hysterical. Bought the DVD as a stocking stuffer for my hubby.
39,Five Stars,5,my granddaughters favorite
40,Terrible quality for a bluray!!!,1,I bought this as a gift and they had it for a few weeks before they watched it. It was POOR quality the movie skipped and the timing was off. Now unfortunately I've missed the return window. Very upsetting. Waste of money.
41,Five Stars,5,Arrived new and in perfect condition.  One of our favorite movies.
42,Five Stars,5,"Made me laugh when it came out, still makes me laugh today."
43,Five Stars,5,Great Movie!
44,Come get some ham!,5,This movie can never get old!
45,Classic...,5,Love this movie. It's the only movie I've actually bought!
46,Five Stars,5,"Jut a great movie,"
47,Rare and precious.,5,"This movie is crafted by genius. The plot seems simple enough, but is able to reach into us and relate something very personal. The acting is great, by everyone. You would forget it's a movie, but for the spontaneous giggles. I never fail to get chills at the end. Wish there were more movies like this one."
48,Five Stars,5,"Just as expected, well done"
49,Five Stars,5,Love it!
50,I just love this movie and I don't know why,5,This is a cult classic!! I just love this movie and I don't know why! LOL
51,Funny and Original,5,I'm glad that I came across this movie by accident. One of my favorites now. XD
52,Goofy.,5,This movie is so goofy but my son thinks that it is the best movie ever. If you enjoy odd humor this movie is for you.
53,Gosh!,5,"Here is my review.  My daughter is 10 and we watched this at a party.  The next day, ""Daddy can we watch Napolean Dynamite again?"""
54,Wrong Disk!,1,"Opened package to watch, had Alvin and the Chipmunks movie inside.  Missed my return window because I didn't check to make sure the right disk was in the case in time.  Very disappointed :-("
55,It's got dumb humor but it's so funny,5,"We bought this movie for my cousins who had never seen it. It's comparable to Nacho Libre humor wise. It's got dumb humor but it's so funny! If you're looking for a laid back dumb humor type movie, this is it! This movie is extremely quotable!"
56,Five Stars,5,Good movie
57,Funny to me...,4,"You have to have the right sense of humor for this movie.  I thought it was great, my wife did not get it at all."
58,Yeahhhh ummm n0oO,3,Not as funny as it was when I was in high school. The dance in the end was the best part
59,Tina is my soulmate,5,This is a classic comedy that relies heavily on irony and awkwardness to enrich the experience and advance the plot.
60,"Good Quality, Poor Packaging",3,"Actual movie packaging was heavily damaged to the point where I had to swap out the case for a second one, which was annoying. Discs looked good and play correctly, I would just recommend purchasing a replacement case to be on the safe side."
61,This movie is so dumb and so simple but that's what makes it a ...,5,This movie is so dumb and so simple but that's what makes it a great movie. I saw it once when I was around 12 and wanted to watch it again. I'm 21 now and still enjoyed it.
62,Five Stars,5,good movie
63,uggghhh weird ~ maybe i am just too,1,uggghhh weird ~maybe i am just too old
64,Five Stars,5,a classic
65,Five Stars,5,Love this movie!
66,A Classic,5,"Stupid but brilliant. Hilarious but thoughtful. Ridicules but endearing.Unfortunately, the filmmaker husband and wife team went ""the way of the world"" and make Hollywood flavored crap now."
67,Watch with middle schoolers!,5,Perfect. Watched this again for the 10th time. This time I watched it with my middle school kids-- they laughed so hard. Good family fun.
68,Great movie.,5,Great movie.
69,Five Stars,5,Funny as ever!Nice to have the DVD and Blu-Ray together.  Fun and goofy packaging.Love this movie!
70,NO NO NO,1,Rip off
71,Five Stars,5,"Great movie, dry humor maybe not for everyone."
72,Five Stars,5,"Loved this when it first came out, now my kids love it too!"
73,Great for all ages!,5,"This is one of my all time favorite movies.  It is hilarious, and enjoyable for all ages.  The price is amazing, and the picture of this movie looks great.  I have watched multiple times, and it is still funny each time.  A great comedy and feel good movie!"
74,its amazing.,5,Napoleon Dynamite...its amazing.
75,A modern classic,5,This movie has grown from one of the worst movies I have ever seen to one of the most funny with each consecutive viewing.
76,Funny!,5,"Very funny, great movie, a classic for sure!"
77,Awesome movie!,5,Awesome movie!
78,Three Stars,3,not great but not bad
79,"If you haven't seen this yet, why not???",5,"It was awesome, what do you think?!?"
80,Five Stars,5,Nice
81,Five Stars,5,"Excellent movie, worth the money!"
82,Insert Witty Title Here,5,Is this one of the greatest films about a whole lot of nothing? Heck yes it is!I'm not sure why anyone would rate Napoleon Dynamite negatively anyway.
83,Five Stars,5,Classic!
84,Five Stars,5,One of my all time faves!!!
85,Ummmm,1,My teenage daughter and I know many people who have liked this movie. We are still trying to figure out why....
86,Five Stars,5,classic
87,Goofball Comedy,5,LOL
88,Five Stars,5,5 star
89,Funny movie,5,Funny funny movie.
90,Funny!,5,"This movie is great, my favorite coming of age film ever made. It's subtle comedy offers laughs again and again. A truly quotable movie of epic Idahoan proportions."
91,Four Stars,4,good product
92,Dang it!!,5,Probably the greatest movie in the world and it definitely could end terrorism across the globe WHAT DO YOU THINK GOSH!
93,Five Stars,5,Favoritest of all favorites.
94,The Truth,5,"If you don't enjoy this movie, you don't enjoy life."
95,One Star,1,Dumb
96,Not multi-format,1,This is not multi-format like it says. It was only the Blu-ray.
97,Five Stars,5,Sweetest dvd ever.
98,Not as funny as I'd remembered it ..,2,Not as funny as I'd remembered it from a few years ago.  YMMV
99,PHUNNY PHILM,5,"This quirky, seemingly low-budget film is really funny."
100,She loved it!,5,My 17 year old loves this movie!  Had to get it for her for Christmas.  She loved it!
101,"Creative, funny - memorable, scene to scene",5,"I finally saw what everyone was talking about. I don't know if this is a love it or hate it flick, but I loved it. Enjoy!"
102,Superb.,5,"This movie came out in 2004, I don't need to defend my 5 star review. It's brilliant and I still watch and quote it regularly."
103,Vote for pedro,5,It's napoleon dynamite.
104,Five Stars,5,gift
105,Four Stars,4,Vote for Pedro!!!
106,Five Stars,5,very funny movie
107,I've always enjoyed this movie but couldn't find my DVD,5,I've always enjoyed this movie but couldn't find my DVD. I would have thought this was a Prime movie but $2.99 was okay.
108,Five Stars,5,a must have classic move
109,Fun,5,"A well-done movie about a high-school misfit and his eventual triumph.  My kids really enjoyed this movie.Oh, and please ""Vote for Pedro""."
110,A Classic,5,"Wacky movie with strangely lovable characters.  It's been around for awhile, and now my nieces have discovered it, so I guess it's a classic of sorts."
111,thanks for giving us a good price and a quick delivery,5,"My wife really likes this movie, thanks for giving us a good price and a quick delivery."
112,Five Stars,5,Funny movie
113,Five Stars,5,"Such a goofy movie, but after watching it multiple times, I laugh harder and harder."
114,Five Stars,5,Will be a cult classic
115,Too funny,5,"Rolling on the floor, laughing out loud.  And your family may watch this."
116,Five Stars,5,Thank you!
117,Five Stars,5,Gosh! Idiots!
118,Apex of Cinema,5,"This movie is like The Godfather and Star Wars Episode I The Phantom Menace met on the set of Cheers, got drunk, hooked up in Arnold from Hey! Arnold's bedroom. Then, in the same amount of time as it takes to lose a guy in How to Lose A Guy in 10 Days, The Godfather realizes it's pregnant. 28 Days Later (Movie gestation period) the movie Tropic Thunder is born. It grows up in the Truman Show world and meets The Lord of the Rings The Two Towers. They get involved, fall in love, but much like Vince Vaughn's and Jennifer Aniston's characters in The Break Up, they break up. Then Tropic Thunder finds his way to the set of Cheers and meets the spanish language version of Avatar. They have sex (normal sex, not Avatar ponytail sex) and this movie is born. Will watch again."
119,My favorite of all time!,5,My favorite of all time!
120,Five Stars,5,One of my all time favorite movies.
121,Five Stars,5,So many quotable moments.
122,Vote for Pedro,5,My kids' favorite movie.
123,Four Stars,4,Classic favorite
124,Five Stars,5,Love this movie!
125,Five Stars,5,"As described and advertised, arrived as estimated."
126,Dynamite,5,I always loved this movie. Great movie. Some parts are hilarious!  When I want a good laugh this us my go to movie
127,Fast delivery,5,Great! Perfect condition
128,Eagle vs Shark was so much better.,2,Meh.Eagle vs Shark was so much better.
129,Five Stars,5,classic
130,Four Stars,4,Fun
131,Many others loved this movie,2,"Many others loved this movie, but I was bored with it.  It felt like it was confused as to the date as there were references to '70's, '80's, and '90's.  The friendships were new and shallow, didn't he have friends from past school years?  The martial artist instructor was the only one that mentioned the image that you project, but nobody learned from it."
132,Clean. Hilarious. Greatness.,5,Clean.  Hilarious.  Greatness.
133,Five Stars,5,Great movie!! My son was very happy
134,Five Stars,5,Hilarious
135,Five Stars,5,Gets better everytime I see it.  GOSH!!
136,Five Stars,5,very funny
137,Still quoting this after all these years,5,Who doesn't like Napoleon and friends?
138,Good Choice!!,4,"Was looking for a clean humored movie and tried Austin Powers.  That was a mistake, but Napoleon was a great choice."
139,Know your Inner Napoleon!,5,"Absolutely great. There's a little of him and in his life happenings in all of us, and this movie brings it to the surface and helps you embrace your inner Napoleon!"
140,Five Stars,5,As described and on time.
141,Love it !!,5,SO funny love this movie it is a classic!!
142,You Gotta Love this Kind of Thing...or you just don't,5,"My 14-year-old loves this crazy movie.  As an adult, I can't stand to watch it--pure stupidity. Kind of along the same lines as the movie Dumb and Dumber."
143,A classic !,5,So funny.
144,So much fun and memorable lines!,5,My teenage children have watched this no less than 6 times!
145,Time you'll never get back,1,Great Flashback no plot or dialog a movie about nothing
146,Five Stars,5,Best awkward laughs ever!
147,Five Stars,5,A classic for the ages.
148,Two Stars,1,Paid for a new movie and ended up with a used one
149,Four Stars,4,Get's funnier everytime I watch it. Had to buy it!
150,"Silly, stupid, and rib hurting funny.",5,"Silly, stupid, and rib hurting funny. My family just has to talk about this movie, and we all start laughing at our favorite moments"
151,Five Stars,5,A classic
152,Very Entertaining,5,Classic!
153,Perfect!,5,A classic movie for my son! Loved this anniversary edition!
154,Five Stars,5,Good for a movie night with your middle school aged kids.
155,Five Stars,5,Enjoyed it for the 30th time.
156,Five Stars,5,Lessons to be learned and growing up.
157,Love this,5,"hilarious movie. Vote for pedro, i say! Love this flick"
158,I watch this with my 8-year-old granddaughter and we laugh ...,5,I watch this with my 8-year-old granddaughter and we laugh every time we watch it.  She has some of the lines memorized.
159,Five Stars,5,Excellent product!
160,Five Stars,5,Love it
161,Brilliant.,5,Saw this in the theaters…..Twas Genius then….stands time.  Brilliant.
162,Crap,1,It was a copied disk wouldnt play on any dvd player kept saying some foreign words.
163,Five Stars,5,Great entertainment for everyone
164,Five Stars,5,Love this movie
165,Still funny,4,"I decided to watch this with my teens and we all laughed a lot. If you ever watch the Miranda sings shows on Netflix, it has a very similar format. I think Amazon charges too much for rentals so I give this a star reduction for that. The movie has a lot of funny one liners and is weird and at times you feel embarrassed for the characters but maybe that's why it's so funny. You can see a little of yourself and your own weirdness and laugh at it.Be sure to watch past the credits for kips wedding. I never saw that scene when this movie first came out so it was something I got to see with the rental."
166,a family favorite,5,So funny with lines we repeat often and characters we love.
167,Five Stars,5,Funny
168,One Star,1,I think I missed something here...? ? ?
169,Deadpan Funny!,4,A throwback to an earlier time!  Deadpan funny.
170,Wonderful.,5,"Classic, groundbreaking, and really quotable. Plus, as a farm boy from Idaho, I relate with the characters and situations. When I first saw this movie, it changed my idea of what a movie is. Wonderful."
171,Unfortunately I cannot provide a review in the sense I didn'twatch the film and only heard of it following my ...,3,i have to say that this film features in my purchases only as my late son encouraged me to purchase it for him. Unfortunately I cannot provide a review in the sense I didn't watch the film and only heard of it following my son heading off and returning to say it was ace. The trailer I did see seemed to depict a trio of misfits if that help in some way.
172,Five Stars,5,Silly humor at it's best.
173,Classic,5,"Simple and funny. Develops a bit slow, but enjoyed it."
174,Five Stars,5,"um duh, its napolean dynamite.  of coarse it awesome"
175,Odd but brilliant,5,It took me a half hour of watching this movie to get the brilliance of it.  It is very odd but it works.  Each scene and character are very unusual like characters out of an Eighties David Lee Roth video.  I understand why this gained a cult following.
176,I'd call it brilliant.,5,"Quirky and heart warming, takes several view to get all the humor going on.  I'd call it brilliant."
177,Funny movie when you're not sure of what you want to watch!,5,"So dead-pan and awkward, it's hilarious. It tends to get funnier each time I watch it."
178,it was one of my favorite movies in high school,5,"I consider this a classic, it was one of my favorite movies in high school. I showed it to my high school students from a totally different area and the humor translated perfectly. Will always love this movie, think of it, and reference it."
179,Classic,5,Must see. So stupid it Hillarious
180,Movie time,5,"Great movie, easy to watch! No buffering, had a great date night with hubby!"
181,Five Stars,5,A family favorite. Love the goofy humor.
182,Four Stars,4,Funny
183,Five Stars,5,The s***s.
184,Five Stars,5,"""Eat your food, TINA!"""
185,Five Stars,5,Funny
186,Gotta watch,5,"My kids and I watched older movies this summer.  I forgot how funny Napoleon is, they were quoting the movies for weeks."
187,Plan a Napoleon Dynamite sleepover for your grandkids!,5,"I bought this movie for a grandkids' sleepover. We went the whole nine yards eating ""Napoleon Dynamite"" food at ever meal. Google it! A fun time was had by all!"
188,Five Stars,5,Best ever
189,Gift for daughter as one of her favs,5,One of my daughters must haves. Either you love it or you hate it.
190,Wasted time - too super dull.,1,"Awful. Couldn't even get through the whole thing. After an hour, nothing was happening. Somebody told us it was funny, but they were so wrong. Dull. That's what this movie is. :("
191,Laughs,5,Love this movie. Always a good laugh.
192,"Great first time I saw it, not so much years later.",3,Some movies are better when you see them a second time. This one was barely tolerable the 2nd time. I loved it when I saw it years ago.  My son (12) thought it was worth watching.
193,Five Stars,5,Great movie
194,Five Stars,5,Everyone should always vote for Pedro.
195,Classic movie,4,"Love the movie, but my copie came kind of beat up, doesnt bother me because it was 8$ but still overall satisfied"
196,"If nothing we do matters, all that matters is THIS MOVIE",5,"Without question the objective GOAT movie.  This got me through every hard time in my life, including when my brother got married and rode off on a horse.  We never heard from him again.  Have any of you heard of ""Citizen Kane""?  That was inspired by this movie."
197,Five Stars,5,Great value
198,Five Stars,5,Lol
199,Five Stars,5,I feel this is the best indie film ever done. At least the best indie comedy.
200,"Fun and Funny, Beginning  to End",4,"Three words: Quirky, hilarious, and awkward . If you prefer movies that make perfect sense from start to finish, this one is not for you. If you enjoy ""odd duck"" characters, physical comedy, and a splash of eighties music and fashion , then this movie will become one of your favorites."
201,all around great experience,5,great price.  quick delivery.
202,Five Stars,5,Too funny!
203,Five Stars,5,Pretty much my favorite movie.
204,Absolutely disappointed!! DO NOT BUY,1,"This disc does not even work, looks fake. Absolutely disappointed!! DO NOT BUY!!"
205,The extras alone are worth the price of this Blu-ray ...,5,"The extras alone are worth the price of this Blu-ray. This low budget film is part of the classics that belongs with ""Breakfast Club"", ""Blast from the Past"", ""Animal House"" "" American Graffiti"" and ""Hollywood Knights""  in your film library."
206,Gosh!,5,"I love this movie...a classic for sure...Napoleon reminds me of me in High School...though I didn't look so lethargic and spastic, I did have goofy hair and glasses...and I was terrified of girls...got bullied and made all those funny sounds..."
207,Amazing,5,Best movie ever if you have any sense of humor!!
208,"Ehhh, it's okay. Not my favorite but my kids enjoyed it.",3,Such an odd movie but my sons quote lines form it all the time. I don't think I'd care to watch it more then once but apparently it appeals to the younger generation.
209,Four Stars,4,Hilarious!
210,Five Stars,5,It was a great movie.
211,Five Stars,5,Better than a Cheese Quesadilla!
212,Five Stars,5,One of the best movies of all time!
213,"""I see your drinking 1%. Does that mean you ...",5,"""I see your drinking 1%. Does that mean you think you're fat? Cause you're not. You could be drinking whole if you wanted to.""- Napoleon Dynamite nuff said"
214,Love the characters & dialogue,5,"One of the funniest movies I've seen.  For everyone who cheers for the underdog & for all of us who aren't part of ""that crowd"".  Love the characters & dialogue."
215,Painful to watch at times.,3,"It has some moments but it's painfully flat in terms of the energy of the actors, it doesn't feel natural."
216,One Star,1,Ok random silliness.
217,Very cute independent movie that seems dumb at first and then it grows on you,5,"Very cute independent movie that seems dumb at first and then it grows on you. ""I've caught you a delicious bass."" Ha! Ha!"
218,Yes!...Yes!...Yes!,5,"The first time I watched this movie, I actually fell asleep. The next time I watched, I paid more attention and had a few chuckles. Now it is one of my all time favorites. It seems like something new makes me laugh each time I watch. The first few times I saw it, I thought it ended where Napoleon and Deb are playing tetherball. Then one time I let it go through the credits and lo and behold, there was another segment to watch! ""Make yourself a dang quesadilla"" has become a common phrase around our house. Like a new TV series, sometimes you have to watch it a few times to really appreciate it! Just so stupid funny!! Gosh!!"
219,Cult Classic,5,"Good old fashioned dry, spot-on humor. Perfect soundtrack provides audio landscape for this weirdly awesome film!"
220,Dry comedy.,1,Dry comedy.
221,Very slow and boring,2,Funny at times just because of the characters but very slow and boring for most of the movie.
222,Best movie ever!!,5,"Best movie of all times. The more you watch it the funnier it gets and the more you catch.  Clean humor, no cussing, family movie. I've watched this movie over 150 times and now have my daughter reciting lines."
223,Five Stars,5,great
224,Funny!!,5,Funny movie! Especially if you lived in the 80s/90s
225,Memories of this craze in High School,5,What's not to like about this movie!
226,Four Stars,4,"Pretty good, very dry humor, I enjoyed it"
227,Five Stars,5,Best movie!!
228,Vote for Pedro,4,Whatever
229,Five Stars,5,Still a funny classic movie
230,Napoleon is Just Saucin',5,"Pretty saucy movie. On a scale of JitCity to ElYaya, I would definitely give it a Wowwy. I recommend watching this movie with the friends you may or may not have. Pretty funny as the kids say these days."
231,Five Stars,5,Kick ass and take's names.
232,Hilarious!,5,Timeless and classic!!!
233,Gosh!,5,Can you at least bring me my ChapStick? I don't know about everyone else but this was an instant classic from the first time I watched it. Heck yes!
234,Five Stars,5,oh yeah..
235,A cinematic pleasure,5,This film set the tone for a generation. It is the ultimate in quotability. A true classic rivaled by none.
236,Five Stars,5,One of my all-time fave movies. Never gets old!
237,glad they did not try to do five sequels and ...,5,"Classic, glad they did not try to do five sequels and mess this thing up."
238,Five Stars,5,A classic
239,Two Stars,2,okay - has to be your type of humor.  husband thought it was funny
240,Great movie!,5,Great movie!!
241,Five Stars,5,So funny my kids loved it too.  A classic
242,Five Stars,5,Funny
243,Love it,5,Love this movie!!
244,A movie to watch with your kids,5,"I have 3 kids at 15, 12 and 10 years old.  The first time we watched this movie together, they laughed a bunch of times.  Throughout the following week, they were quoting the movie until my youngest son asked me, ""Dad, what was that movie about?"".  I laughed because I didn't know what to say.  I never thought about the meaning.  My kids and I have watched this movie at least 6 times this year.  We laugh harder each time now that we know what is going to happen.If you're in your 40's and are looking for some nostalgic movies to watch with your kids, put this movie in your queue, along with The Goonies, Gremlins, Jaws, The Holy Grail, Joe Dirt, Time Bandits, Stand by Me, and the original Willy Wonka and the Chocolate Factory.  Your kids will thank you."
245,Five Stars,5,Thank you!
246,"Great movie, this!",5,Hilarious and oddly endearing.
247,Five Stars,5,I love this movie.
248,Can't go wrong with this flick....GOSH!,5,Just an incredible movie in spite of the minimal budget and DIY set-up. A positive/happy film with iconic characters. Wish I could dance like Napoleon in the school assembly scene.
249,Four Stars,4,"Great movie... Stupid, BUT GREAT!"
250,Five Stars,5,Why did this win no Oscars
251,the more you love it.,5,"The more you watch it, the more you love it."
252,"Movie is great, but I received uses merchandise",1,"This is my all time favorite movie. The nostalgic feeling I get remind me of senior year of high school when my favorite teacher and I would quote line back and forth all year. Imagine my excitement when I found out it is now on Blu-ray! I raced home today to rip open the package and there it was, sweeter than extra tots and sick jumps. I open up the wrapper on the Blu-ray and automatically the backing feel off. Open up the trifold case and look at the contents. The DVD is completely scratched and dirty, the Blu-ray is only lightly scratch but also dirty. Looks like I received repackaged used merchandise. I will never order from this supplier again."
253,Classic,5,Classic forever.....
254,Five Stars,5,::)
255,Five Stars,5,Great movie!
256,love love love love love,5,love love love love love. We watch this twice a week and even had a Napoleon Dynamite party complete with corn dogs and tater tots. FUN!!
257,Five Stars,5,fun
258,I always look forward to watching the movies I loved with my kids as they grow,4,"I always look forward to watching the movies I loved with my kids as they grow.  This was a great, clean, histerical low budget movie to enjoy with my pre-teen/teen kids!"
259,Watch this movie it's like flipping awesome!,5,"I remember those days in high school when it was just as hard for others to understand you as it may have been for you to understand them.  I went to a somewhat big school so their were quite the mix of students, clubs, and unfortunately and inevitably clique's.  Their were the jocks, the nerds, the eccentric artistic types, pompous snobs,Goths, class clowns and pranksters, and even some foreign students.  No doubt one could always feel themself in a much better social status by belonging to a clique.  Sometimes you'll belong to either one that's not especially popular and/or has few members or just not be clique material at all.  Other than that some will feel that their worth doesn't need to be measured by a clique in the first place.  High school has it's many posers and real people.  I feel that this movie finds a fascinating way to make one think about all of those elements.Also this movie does a good job of examining the poor and struggling versus the higher class and more well to do.  The exaggerations that this movie goes into with all of that are quite funny and relatable without being too mean-spirited.As this movie is in no way plot heavy it does showcase some funny, interesting, and all around zany characters.  Also it's quite quotable as well.  In this movie you are introduced to Napoleon Dynamite.  A social outcast who's moody and deadpan, gets bullied at times, likes to make up stories, and has few friends.  Napoleon's brother Kip is a suck up, a dork, he's self-righteous, is only a little more tactful than Napoleon, and in general is an all around loser.  Uncle Rico who frequently relives his high school football hey days, he's a free-loader, an instigator, and while he and Kip get along just fine, Uncle Rico and Napoleon totally hate eachother.  Deb is a sweet girl who's just as socially awkward as Napoleon if not more, she was given the task to sell friendship bracelets door to door, she works at a local photo shop, and she has a deep connection with Napoleon.  Pedro is a lively and lovable Mexican teen of whom was sent  locally to Idaho, he and Napoleon become fast friends, Pedro wants a girlfriend, other than that Pedro shares in Napoleon's interests and wishes to win as school president to be respected and to stand out.  Grandma is the caretaker of Napoleon and Kip who loves to do dangerous and extreme things to the point of  getting wounded.  Summer Wheatly is gorgeous, hot, outgoing, highly popular, but unfortunately she's a big snob.  Those are the central characters to focus on.  The rest aren't as important.Some Facts About The Film:  Director: Jared Hess, Producers: Jeremy Coon, Chris Wyatt, Sean C. Covel, and Jory Weitz.  Musical score by John Swihart.  Distributed by Fox Searchlight Pictures for North America and Paramount Pictures internationally.  Budget: $400,000.  Box Office: 46.1 million dollars.  Cinematography: Munn Powell  Theatrical release: June 11, 2004.The funniest scene of all will always be when Napoleon disco dances on stage to Cosmic Girl by Jamiroquai.  Certainly Napoleon and Uncle Rico locking horns is really hysterical.  Kip's ridiculous poser behaviors are very hilarious.  When the grandmother says,""Makes yourselves a freakin' Quesadilla"". is another good laugh.The friendship between Napoleon and Pedro is a great reminder of what a worthwhile and loyal friendship in high school is like.  Deb may not be very pretty but she is that sweet girl that is the right kind of girl to want to have as a girlfriend.  Napoleon keeping his tater tots in his pocket certainly reminds me of any time that I didn't have time to eat all of my lunch so I would bring a ziploc bag and pack it for later.All in all, as I don't normally find movies with clean humor to be funny nor do I normally care for a movie that's plot light and character heavy, I can't deny that with this movie's charm, zany and quirky characters, quotable lines like ""Sweet or ""Lu-cky"", it's hilarious exaggerations about clicques, class, and popularity, chief characters that are likable and only a couple that aren't, Jon Heder staying perfectly in character throughout the movie, great cinematography, and it's non mean-spirited nature, are all things that make this movie one that's worth giving a try.  Hopefully one day there will be a sequel."
260,Five Stars,5,Laughed non-stop
261,Five Stars,5,Hilarious movie!
262,Somewhat of a sad movie. Bad parody on life in rural nowhere,1,Somewhat of a sad movie. Bad parody on life in rural nowhere.  Unfortunately there are a couple memorable moments that are hard to forget.  I could not recommend this movie to anyone even to those who like offbeat comedies.
263,I enjoyed it,3,"It's a solid three star movie. I'm glad I finally saw it and it made me laugh out loud a few times, but I wouldn't feel the need or desire to see it again."
264,Five Stars,5,best movie ever
265,Five Stars,5,Love it!
266,Great movie if you have a funny sense of humor!!,5,Fun family movie for us. Our kids have a great sense of humor and we refer to this movie all the time!
267,Excellent Movie,5,It's funny!
268,Five Stars,5,great!
269,Five Stars,5,I loved the comedy
270,Buy it,5,1 of the funniest movie's I've seen
271,Five Stars,5,Classic
272,Five Stars,5,Hilarious!
273,Five Stars,5,Great Movie!
274,silly fun,5,silly fun
275,This is one of my favorite movies. I would watch it a hundred times,5,"This is one of my favorite movies. I would watch it a hundred times. It's not for everybody, but if you have a warped sense of humor and pull for the underdogs this movie is for you."
276,Five Stars,5,Came in great shape
277,Five Stars,5,Awesome
278,Five Stars,5,Excellent
279,Good purchase.,5,Great movie! And on time.
280,Four Stars,4,Funny movie. One you can watch again and again
281,Classic and funny. One of our favorites,5,"Classic and funny. One of our favorites! We go around quoting the lines. ""But my lips hurt real bad!"" is the best."
282,The best,5,Bow to your Sensei!!!Great movie and timely delivery.Thanks
283,Five Stars,5,Classic!!
284,Five Stars,5,Perfection
285,Endearing and Genuinely Funny,5,"This film captures a small town in a rural setting. It benevolently reflects the uniqueness and quirkiness of it dwellers.  If you have ever lived in a small town or have visited a small town, this film will charm you."
286,Five Stars,5,Great! :)
287,A classic must-see,5,"Super funny. This one is a classic! The characters are hilarious, but also poignantly well developed."
288,Might have enjoyed it more if we were younger,3,"Watched beccause it was Preston, Idaho. Might have enjoyed it more if we were younger."
289,Five Stars,5,Love this video!!! Recommend it to all my friends!!! So funny!!!
290,Five Stars,5,Eat your food Tina!
291,Five Stars,5,Love it!!
292,Five Stars,5,Hilariously funny!
293,It's funny has some dry humor,3,It's funny has some dry humor. For the price of 3.99 you can't go wrong. Not the best comedy in the world but if your bored and need something to watch
294,Cult classic,5,"Full of catch phrases we repeat around my house, then hear all over the place from friends and strangers! That's what makes a good movie ... it's ridiculous and hilarious and a blast!"
295,Good family fun!,5,Hilarious!
296,Five Stars,5,V good.
297,Classic must watch,5,I rented it as we were using some of the phrases out of the movie. Definitely a classic
298,Four Stars,4,my children love this movie they range in age 26 to 10
299,We love Napoleon!,5,One of our favorite movies ever. This was our second copy as my teens wore the first DVD out from watching it so much :)
300,Five Stars,5,Love this movie!
301,Five Stars,5,EXCELLEN MOVIE
302,Five Stars,5,favorite
303,Watch this!,5,"I love this movie for the fun, non-political movie that it is. It's simple, plain and fun. No hidden agendas or stories."
304,Five Stars,5,Great movie really funny
305,Five Stars,5,Vote for Pedro and all your wildest dreams will come true.
306,Four Stars,4,"Funny, silly movie."
